,FLEET,AC CODE,"FLT#
(OB)","FLT#
(IB)",ORIG,DEST,"DEST
(ret)","ORIG
(ret)","DEP OB
(HHMM)","ARR OB
(HHMM)","BLOCK OB
(HHMM)","DEP IB
(HHMM)","ARR IB
(HHMM)","BLOCK IB
(HHMM)",OPR,,,,,,,
Domestic,320/D,321R,470,475,BOS,DEN,DEN,BOS,0935,1157,0422,1242,1835,0353,OLD,,,,,,,
Domestic,E175,E7S,4116,4117,RDU,BNA,BNA,RDU,1115,1203,0148,1343,1621,0138,RBD,,,,,,,
Mexico,320/I,321R,1280,1281,AUS,CUN,CUN,AUS,0720,0947,0227,1015,1257,0242,NAC,,0620,0847,0942,1224,0055,0055
Mexico,320/I,321R,1036,1045,AUS,CUN,CUN,AUS,1020,1247,0227,1345,1627,0242,NAC,,1520,1747,1842,2124,0055,0055
Mexico,737/I,738K,812,813,AUS,CUN,CUN,AUS,1306,1533,0227,1623,1905,0242,NAC,,0620,0847,0942,1224,0055,0055
Mexico,320/I,321R,2984,2985,AUS,CUN,CUN,AUS,1733,2000,0227,0800,1042,0242,NAC,,2310,0137,0555,0837,0055,0055
Mexico,737/I,738K,2452,2481,BNA,CUN,CUN,BNA,0800,1047,0247,1145,1431,0246,NAC,,,,,,,
Domestic,E175,E7S,4124,4125,RDU,BNA,BNA,RDU,1350,1438,0148,1618,1856,0138,RBD,,,,,,,
Domestic,320/D,A320,918,923,RDU,BOS,BOS,RDU,1050,1245,0155,1330,1535,0205,NAC,,,,,,,
Domestic,737/D,738R,4002,4003,RDU,BOS,BOS,RDU,2110,2305,0155,2350,0155,0205,PFT,,,,,,,
Domestic,737/D,738R,4854,4855,RDU,BOS,BOS,RDU,2340,0135,0155,0615,0820,0205,PFT,,,,,,,
Domestic,320/D,319W,3886,3887,MIA,MCO,MCO,MIA,1410,1530,0120,1615,1734,0119,NAC,,,,,,,
Domestic,E175,E7W,4410,4411,RDU,BOS,BOS,RDU,0815,0930,0115,1005,1115,0110,RBD,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Domestic,E190,E95,4200,4201,RDU,BTV,BTV,RDU,1215,1421,0206,1506,1719,0213,PFT,,,,,,,
Mexico,737/D,738K,907,907,AUS,MEX,MEX,AUS,1335,1450,0215,1550,1903,0213,NAC,,,,,,,
Mexico,320/I,319W,1586,1586,AUS,MEX,MEX,AUS,1500,1615,0215,1715,2028,0213,NAC,,0620,0735,0830,1143,0055,0055
Mexico,737/D,738K,424,425,AUS,MEX,MEX,AUS,1005,1120,0215,1220,1533,0213,NAC,,0620,0735,0830,1143,0055,0055
Domestic,320/D,319W,3934,3935,RDU,BUF,BUF,RDU,0935,1121,0146,1206,1352,0146,NAC,,,,,,,
Domestic,E175,E7W,4414,4415,RDU,BUF,BUF,RDU,2330,0100,0130,0500,0640,0140,RBD,,,,,,,
Domestic,737/D,738K,1942,1947,AUS,DTW,DTW,AUS,1945,2338,0253,0644,0855,0311,NAC,,1520,1913,1958,2209,0045,0045
Domestic,320/D,319W,1468,1507,RDU,BWI,BWI,RDU,1730,1853,0123,1938,2104,0126,NAC,,,,,,,
Domestic,320/D,321K,2132,2132,RDU,BWI,BWI,RDU,1155,1318,0123,1420,1546,0126,NAC,,,,,,,
Domestic,320/D,321K,1496,1496,RDU,BWI,BWI,RDU,2124,2247,0123,0600,0726,0126,NAC,,,,,,,
Domestic,737/D,738K,2412,2412,RDU,BWI,BWI,RDU,0943,1106,0123,1151,1317,0126,NAC,,,,,,,
Domestic,320/D,319W,1914,1915,DCA,MSP,MSP,DCA,2207,2359,0252,0545,0917,0232,NAC,,,,,,,
Domestic,737/D,738M,460,463,RDU,BZN,BZN,RDU,0905,1143,0438,1240,1842,0402,NAC,,,,,,,
Domestic,E145,EMJ,6070,6071,RDU,CAE,CAE,RDU,2234,2355,0121,0545,0703,0118,EMY,,,,,,,
Domestic,320/D,319W,1960,1965,DCA,MSP,MSP,DCA,1430,1622,0252,1659,2031,0232,NAC,,,,,,,
Domestic,320/D,319W,1778,1813,MIA,MSP,MSP,MIA,1015,1304,0349,1350,1823,0333,NAC,,,,,,,
Domestic,E145,EMJ,6140,6141,RDU,CAE,CAE,RDU,0919,1040,0121,1112,1230,0118,EMY,,,,,,,
Domestic,E145,EMJ,6132,6133,RDU,CAE,CAE,RDU,1305,1426,0121,1500,1618,0118,EMY,,,,,,,
Domestic,320/D,319W,1140,1155,DCA,MSY,MSY,DCA,1755,1900,0205,2045,2355,0210,NAC,,,,,,,
Domestic,320/D,319W,2310,2310,MIA,MSY,MSY,MIA,1900,2014,0214,0844,1145,0201,NAC,,,,,,,
Domestic,E145,EMJ,6124,6125,RDU,CHA,CHA,RDU,2055,2234,0139,0700,0831,0131,EMY,,,,,,,
Domestic,E145,EMJ,6004,6005,RDU,CHA,CHA,RDU,1410,1549,0139,1620,1751,0131,EMY,,,,,,,
Caribbean,320/D,319W,1976,1977,DCA,NAS,NAS,DCA,1320,1602,0242,1645,1927,0242,NAC,,,,,,,
Domestic,320/D,321K,1471,1470,RDU,CHS,CHS,RDU,0755,0917,0122,1007,1128,0121,NAC,,,,,,,
Caribbean,320/D,319W,2079,2079,MIA,NAS,NAS,MIA,0630,0748,0118,0828,0950,0122,NAC,,,,,,,
Domestic,320/D,321K,2295,2295,RDU,CHS,CHS,RDU,1722,1844,0122,1944,2105,0121,NAC,,,,,,,
Domestic,737/D,A320,2210,2241,RDU,CHS,CHS,RDU,2214,2359,0145,0500,0654,0154,NAC,,,,,,,
Domestic,E175,E7W,4466,4467,RDU,CHS,CHS,RDU,1850,2012,0122,2255,0016,0121,RBD,,,,,,,
Caribbean,320/D,319W,876,875,MIA,NAS,NAS,MIA,1110,1228,0118,1308,1430,0122,NAC,,,,,,,
Domestic,E175,E7W,4416,4417,RDU,CHS,CHS,RDU,0905,1050,0145,0011,0134,0123,RBD,,,,,,,
Domestic,E175,E7W,4464,4465,RDU,CHS,CHS,RDU,0700,0822,0122,0857,1018,0121,RBD,,,,,,,
Domestic,E175,E7W,4112,4113,RDU,CHS,CHS,RDU,1320,1442,0122,1522,1643,0121,RBD,,,,,,,
Domestic,E175,E7W,4114,4115,RDU,CHS,CHS,RDU,1450,1612,0122,1652,1813,0121,RBD,,,,,,,
Domestic,E145,EMJ,6114,6115,RDU,CHS,CHS,RDU,0705,0827,0122,0900,1021,0121,EMY,,,,,,,
Domestic,320/D,A320,2988,2989,RDU,CLE,CLE,RDU,2000,2141,0141,0800,0937,0137,NAC,,,,,,,
Caribbean,320/D,319W,2492,2492,MIA,NAS,NAS,MIA,1435,1553,0118,1645,1807,0122,NAC,,,,,,,
Domestic,320/D,A320,2104,2143,RDU,CLE,CLE,RDU,1220,1401,0141,1446,1623,0137,NAC,,,,,,,
Domestic,737/D,738M,2392,2392,MIA,LAS,LAS,MIA,1738,2005,0527,2223,0605,0442,NAC,,,,,,,
Domestic,320/D,H319,1618,1613,PHX,LAS,LAS,PHX,0600,0727,0127,0815,0938,0123,NAC,,,,,,,
Domestic,320/D,319W,2986,2987,LGA,ORD,ORD,LGA,1850,2001,0211,2055,0007,0212,NAC,,,,,,,
Domestic,737/D,738K,1032,1033,RDU,CLT,CLT,RDU,2238,2355,0117,0555,0710,0115,NAC,,,,,,,
Domestic,320/D,319W,1968,1969,LGA,ORD,ORD,LGA,1250,1401,0211,1445,1757,0212,NAC,,,,,,,
Domestic,737/D,738K,1712,1711,RDU,CLT,CLT,RDU,1248,1405,0117,1445,1600,0115,NAC,,,,,,,
Domestic,320/D,321K,1904,1903,RDU,CLT,CLT,RDU,0805,0922,0117,1002,1117,0115,NAC,,,,,,,
Domestic,320/D,321K,2010,2010,RDU,CLT,CLT,RDU,1628,1745,0117,1835,1950,0115,NAC,,,,,,,
Domestic,E175,E7S,4338,4339,RDU,CMH,CMH,RDU,1045,1222,0137,1302,1434,0132,RBD,,,,,,,
Domestic,E175,E7W,4418,4419,RDU,CMH,CMH,RDU,2210,2335,0125,0600,0725,0125,RBD,,,,,,,
Domestic,E190,E95,4724,4725,RDU,CMH,CMH,RDU,1520,1657,0137,1742,1914,0132,PFT,,,,,,,
Domestic,E175,E7S,4434,4435,RDU,CRW,CRW,RDU,1755,1920,0125,2000,2125,0125,RBD,,,,,,,
Domestic,320/D,321R,973,964,BOS,DEN,DEN,BOS,1025,1247,0422,1332,1925,0353,OLD,,,,,,,
Domestic,320/D,321R,1713,1688,BOS,DEN,DEN,BOS,1100,1322,0422,1407,2000,0353,OLD,,,,,,,
Domestic,320/D,321R,578,583,BOS,FLL,FLL,BOS,1415,1732,0317,1817,2122,0305,OLD,,,,,,,
Caribbean,320/I,321R,4698,4699,JFK,SJU,SJU,JFK,1610,1957,0347,2100,0057,0357,PFT,,,,,,,
Domestic,320/D,321R,2244,2285,BOS,MCO,MCO,BOS,1705,2010,0305,2055,2346,0251,AAA,,,,,,,
Domestic,320/D,321R,758,759,SFO,LAS,LAS,SFO,1935,2110,0135,2155,2339,0144,OLD,,,,,,,
Domestic,320/D,321R,4798,4799,LAS,OAK,OAK,LAS,2140,2324,0144,0009,0144,0135,PFT,,,,,,,
Domestic,320/D,321T,45,46,BOS,SFO,SFO,BOS,0830,1210,0640,1255,2136,0541,AAA,,,,,,,
Domestic,E145,EMJ,5848,5849,RDU,CRW,CRW,RDU,2234,2359,0125,0600,0721,0121,EMY,,,,,,,
Domestic,320/D,319W,3180,3181,MIA,ORF,ORF,MIA,1500,1718,0218,1758,2021,0223,NAC,,,,,,,
Domestic,E145,EMJ,6102,6103,RDU,CRW,CRW,RDU,1158,1350,0152,1420,1604,0144,EMY,,,,,,,
Domestic,E145,EMJ,6050,6051,RDU,CRW,CRW,RDU,0900,1025,0125,1530,1651,0121,EMY,,,,,,,
Mexico,320/I,321K,284,285,RDU,CUN,CUN,RDU,0905,1110,0305,1210,1604,0254,NAC,,,,,,,
Domestic,320/D,319W,2458,2487,AUS,PHL,PHL,AUS,1948,0010,0322,0605,0856,0351,NAC,,,,,,,
Mexico,320/I,321K,1816,1849,RDU,CUN,CUN,RDU,1105,1335,0330,1430,1900,0330,NAC,,,,,,,
Domestic,E175,E7W,3476,3477,AUS,MEM,MEM,AUS,1725,1915,0150,1955,2155,0200,EMY,,,,,,,
Mexico,320/I,321K,2176,2213,RDU,CUN,CUN,RDU,1350,1620,0330,1720,2150,0330,NAC,,,,,,,
Mexico,E190,E95,6,7,RDU,CUN,CUN,RDU,1510,1715,0305,1710,2104,0254,PFT,,,,,,,
Domestic,320/D,319W,1654,1655,AUS,PHL,PHL,AUS,1605,2027,0322,0830,1121,0351,NAC,,,,,,,
Domestic,320/D,A320,1236,1237,RDU,CVG,CVG,RDU,2211,2352,0141,0510,0644,0134,NAC,,,,,,,
Domestic,320/D,A320,3824,3825,RDU,CVG,CVG,RDU,1134,1315,0141,1400,1534,0134,NAC,,,,,,,
Domestic,E175,E7W,4420,4421,RDU,CVG,CVG,RDU,2040,2225,0145,0900,1030,0130,RBD,,,,,,,
Domestic,E190,E95,3400,3401,RDU,DAB,DAB,RDU,1740,1927,0147,2012,2156,0144,PFT,,,,,,,
Domestic,320/D,319W,3248,3249,RDU,DCA,DCA,RDU,1105,1226,0121,1311,1434,0123,NAC,,,,,,,
Domestic,320/D,321T,67,68,BOS,LAS,LAS,BOS,1905,2203,0558,2248,0654,0506,OLD,,,,,,,
Domestic,320/D,321T,194,193,JFK,SAN,SAN,JFK,1930,2237,0607,2322,0735,0513,OLD,,,,,,,
Domestic,320/D,321T,969,1186,BOS,SFO,SFO,BOS,1955,2335,0640,0020,0901,0541,AAA,,,,,,,
Hawaii,320/I,321E,496,495,LAX,KOA,KOA,LAX,1915,2228,0613,2318,0728,0510,NAC,,,,,,,
Domestic,320/D,F321,4172,4173,SFO,ORD,ORD,SFO,0600,1155,0355,1240,1533,0453,PFT,,,,,,,
Domestic,320/D,F321,3584,3585,DEN,BOS,BOS,DEN,0605,1158,0353,1310,1532,0422,PFT,,,,,,,
Domestic,320/D,F321,4736,4737,DEN,PHL,PHL,DEN,0610,1141,0331,1226,1422,0356,PFT,,,,,,,
Domestic,320/D,F321,4284,4285,LAS,BOS,BOS,LAS,0615,1421,0506,1506,1804,0558,PFT,,,,,,,
Domestic,320/D,F321,3506,3507,SFO,LAS,LAS,SFO,0625,0800,0135,0845,1029,0144,PFT,,,,,,,
Domestic,320/D,F321,4656,4657,DEN,JFK,JFK,DEN,0700,1239,0339,1324,1529,0405,PFT,,,,,,,
Domestic,320/D,F321,4492,4493,DEN,MCO,MCO,DEN,0720,1251,0331,1336,1526,0350,PFT,,,,,,,
Domestic,320/D,F321,4188,4189,DEN,MCO,MCO,DEN,0750,1321,0331,1406,1556,0350,PFT,,,,,,,
Domestic,320/D,F321,3504,3505,ATL,SFO,SFO,ATL,0805,1029,0524,1114,1840,0426,PFT,,,,,,,
Mexico,320/I,F321,16,17,DEN,CUN,CUN,DEN,0830,1317,0347,1430,1730,0400,PFT,,,,,,,
Mexico,320/I,F321,14,15,STL,CUN,CUN,STL,0835,1142,0307,1137,1449,0312,PFT,,,,,,,
Caribbean,320/I,F321,4176,4177,SJU,MIA,MIA,SJU,0850,1150,0300,1250,1530,0240,PFT,,,,,,,
Domestic,320/D,F321,4428,4429,DEN,DCA,DCA,DEN,0905,1427,0322,1630,1815,0345,PFT,,,,,,,
Domestic,320/D,F321,3452,3453,SFO,DEN,DEN,SFO,0940,1257,0217,1330,1519,0249,PFT,,,,,,,
Domestic,320/D,F321,4676,4677,ATL,LAX,LAX,ATL,0940,1129,0449,1214,1918,0404,PFT,,,,,,,
Domestic,320/D,F321,3136,3137,DEN,JFK,JFK,DEN,0950,1529,0339,1614,1819,0405,PFT,,,,,,,
Domestic,320/D,F321,4250,4251,LAS,ORD,ORD,LAS,0950,1509,0319,1554,1803,0409,PFT,,,,,,,
Domestic,320/D,F321,3152,3153,MCO,EWR,EWR,MCO,1000,1232,0232,1317,1558,0241,PFT,,,,,,,
Caribbean,320/I,F321,4104,4105,JFK,SJU,SJU,JFK,1040,1427,0347,1527,1924,0357,PFT,,,,,,,
Domestic,320/D,F321,3598,3599,LAS,STL,STL,LAS,1110,1624,0314,1709,1854,0345,PFT,,,,,,,
Domestic,320/D,F321,4994,4995,DEN,SAN,SAN,DEN,1240,1413,0233,1458,1805,0207,PFT,,,,,,,
Domestic,320/D,F321,4498,4499,DEN,ONT,ONT,DEN,1325,1454,0229,1555,1858,0203,PFT,,,,,,,
Domestic,320/D,F321,2424,2457,MCI,FLL,FLL,MCI,1330,1733,0303,1818,2039,0321,CARGO,,,,,,,
Domestic,320/D,F321,494,499,DFW,SLC,SLC,DFW,1415,1607,0252,1652,2014,0222,PFT,,,,,,,
Domestic,320/D,F321,4576,4577,SFO,DEN,DEN,SFO,1420,1737,0217,1822,2011,0249,PFT,,,,,,,
Caribbean,320/I,F321,4688,4689,JFK,SJU,SJU,JFK,1530,1917,0347,2020,0017,0357,PFT,,,,,,,
Caribbean,320/I,F321,3476,3477,SJU,IAD,IAD,SJU,1625,2022,0357,2120,0102,0342,PFT,,,,,,,
Domestic,320/D,F321,4260,4261,SFO,PDX,PDX,SFO,1625,1817,0152,1902,2054,0152,PFT,,,,,,,
Domestic,320/D,F321,4210,4211,DEN,ORD,ORD,DEN,1720,2028,0208,2113,2248,0235,PFT,,,,,,,
Domestic,320/D,F321,4530,4531,SFO,FLL,FLL,SFO,1750,0217,0527,0500,0820,0620,PFT,,,,,,,
Domestic,320/D,F321,652,657,BOS,SAN,SAN,BOS,1750,2116,0626,2201,0630,0529,OLD,,,,,,,
Domestic,320/D,F321,2346,2381,BOS,LAS,LAS,BOS,1805,2103,0558,2148,0554,0506,OLD,,,,,,,
Domestic,320/D,F321,4488,4489,LAS,JFK,JFK,LAS,1840,0231,0451,0630,0910,0540,PFT,,,,,,,
Domestic,320/D,F321,4098,4099,LAS,SLC,SLC,LAS,1900,2133,0133,2218,2255,0137,PFT,,,,,,,
Domestic,320/D,F321,1532,1563,BOS,LAS,LAS,BOS,1910,2208,0558,2253,0659,0506,OLD,,,,,,,
Domestic,320/D,F321,1752,1785,BOS,SAN,SAN,BOS,1920,2246,0626,2331,0800,0529,AUR,,,,,,,
Domestic,320/D,F321,4570,4571,SFO,AUS,AUS,SFO,1925,0053,0328,0505,0705,0400,PFT,,,,,,,
Domestic,320/D,F321,4150,4151,DEN,BOS,BOS,DEN,1930,0123,0353,0700,0922,0422,PFT,,,,,,,
Domestic,320/D,F321,4400,4401,LAS,JFK,JFK,LAS,1945,0336,0451,0630,0910,0540,PFT,,,,,,,
Domestic,320/D,F321,4408,4409,SFO,ORD,ORD,SFO,1955,0150,0355,0820,1113,0453,PFT,,,,,,,
Domestic,320/D,F321,1734,1765,DEN,ABQ,ABQ,DEN,2029,2200,0131,2240,2359,0119,PFT,,,,,,,
Domestic,320/D,F321,4074,4075,DEN,SFO,SFO,DEN,2200,2349,0249,0035,0352,0217,PFT,,,,,,,
Caribbean,320/I,F321,3266,3267,MIA,BQN,BQN,MIA,2300,0133,0233,0230,0522,0252,PFT,,,,,,,
Domestic,320/D,F321,3522,3523,DEN,ONT,ONT,DEN,2305,0034,0229,0130,0433,0203,PFT,,,,,,,
Domestic,320/D,F321,4332,4333,SFO,DFW,DFW,SFO,2359,0511,0312,2115,2311,0356,PFT,,,,,,,
Domestic,320/D,319W,1394,1395,RDU,DCA,DCA,RDU,1300,1421,0121,1506,1629,0123,NAC,,,,,,,
Domestic,E175,E7W,4346,4347,RDU,DCA,DCA,RDU,1440,1601,0121,0910,1033,0123,RBD,,,,,,,
Domestic,E175,E7W,4352,4353,RDU,DCA,DCA,RDU,1640,1804,0124,1849,2015,0126,RBD,,,,,,,
Domestic,320/D,321R,1326,1327,RDU,DEN,DEN,RDU,2120,2259,0339,2350,0508,0318,NAC,,,,,,,
Domestic,320/D,321R,1956,1959,RDU,DEN,DEN,RDU,1106,1306,0400,1406,2046,0440,NAC,,,,,,,
Domestic,320/D,321R,2020,2021,RDU,DEN,DEN,RDU,0832,1011,0339,1110,1628,0318,NAC,,2350,0129,0515,1033,0045,0045
Hawaii,320/I,321E,62,63,LAX,KOA,KOA,LAX,0955,1308,0613,1358,2208,0510,NAC,,,,,,,
Domestic,320/D,A320,1274,1311,PDX,OAK,OAK,PDX,0915,1106,0151,1151,1343,0152,AUR,,,,,,,
Domestic,320/D,A320,1060,1075,DEN,SLC,SLC,DEN,0945,1124,0139,1209,1329,0120,OLD,,,,,,,
Domestic,320/D,319W,1880,1877,RDU,DFW,DFW,RDU,0745,0937,0252,1022,1403,0241,NAC,,,,,,,
Domestic,320/D,319W,480,469,RDU,DFW,DFW,RDU,1830,2022,0252,1404,1745,0241,NAC,,,,,,,
Mexico,737/I,738K,1244,1245,BOS,CUN,CUN,BOS,1105,1427,0422,1530,2031,0401,NAC,,,,,,,
Mexico,320/I,A320,2055,2055,AUS,OAX,OAX,AUS,1030,1201,0231,1301,1634,0233,NAC,,,,,,,
Caribbean,320/I,321R,1412,1413,AUS,SJU,SJU,AUS,2326,0505,0439,0600,1023,0523,NAC,,,,,,,
Caribbean,320/I,321R,3842,3843,AUS,SJU,SJU,AUS,0926,1505,0439,1555,2018,0523,NAC,,,,,,,
Domestic,320/D,A320,2014,2015,RDU,DFW,DFW,RDU,2223,0015,0252,0515,0856,0241,NAC,,,,,,,
Caribbean,320/I,319S,3122,3123,AUS,STT,STT,AUS,0820,1406,0446,1506,1937,0531,NAC,,,,,,,
Europe,320/I,321X,156,157,BOS,MAD,MAD,BOS,2255,1131,0636,1301,1438,0737,NAC,,,,,,,
South America,320/I,319S,2974,2975,JFK,BOG,BOG,JFK,1750,2225,0535,0040,0715,0535,NAC,,,,,,,
Europe,320/I,321X,84,85,JFK,EDI,EDI,JFK,2028,0815,0647,1015,1308,0753,NAC,,,,,,,
Europe,320/I,321X,86,87,JFK,LIS,LIS,JFK,2210,1004,0654,1200,1504,0804,NAC,,,,,,,
Caribbean,320/I,319S,3022,3023,JFK,STT,STT,JFK,0920,1310,0350,1410,1811,0401,NAC,,,,,,,
Mexico,737/I,738K,3028,3029,JFK,CUN,CUN,JFK,0745,1043,0358,1140,1621,0341,NAC,,,,,,,
Domestic,320/D,321R,1324,1325,LAX,LAS,LAS,LAX,0805,0925,0120,1010,1125,0115,NAC,,,,,,,
Domestic,737/D,738K,1328,1329,LAX,LAS,LAS,LAX,1145,1305,0120,1355,1510,0115,NAC,,,,,,,
Domestic,737/D,738K,1320,1321,LAX,LAS,LAS,LAX,1615,1735,0120,1815,1930,0115,NAC,,,,,,,
Domestic,320/D,321F,3536,3537,LAX,LAS,LAS,LAX,2225,2345,0120,0030,0145,0115,PFT,,,,,,,
Domestic,320/D,321R,1327,1326,LAX,LAS,LAS,LAX,2045,2205,0120,2250,0005,0115,NAC,,,,,,,
Europe,A339,330N,292,293,LAX,LHR,LHR,LAX,1320,0730,1010,0930,1240,1110,NAC,,,,,,,
Hawaii,320/I,321E,484,485,LAX,LIH,LIH,LAX,1327,1655,0628,2244,0705,0521,NAC,,,,,,,
Hawaii,320/I,321E,272,273,LAX,LIH,LIH,LAX,0819,1147,0628,1305,2126,0521,NAC,,,,,,,
Domestic,E145,ERD,,,LAX,MCE,MCE,LAX,,,0125,,,0113,RVF,,0635,0800,0845,0958,0045,0045
Caribbean,320/I,321R,1650,1651,MIA,AUA,AUA,MIA,1105,1357,0252,1457,1803,0306,NAC,,,,,,,
Caribbean,320/I,319S,308,415,MIA,BDA,BDA,MIA,1740,2120,0240,0830,1031,0301,NAC,,,,,,,
Mexico,737/I,738M,423,407,JFK,CUN,CUN,JFK,1115,1413,0358,1510,1951,0341,NAC,,,,,,,
Domestic,E145,ERD,,,LAX,MCE,MCE,LAX,,,0125,,,0113,RVF,,1705,1830,1915,2028,0045,0045
Mexico,737/I,738K,1910,1907,MCI,CUN,CUN,MCI,0728,1045,0317,1145,1512,0327,NAC,,0700,1017,1112,1439,0055,0055
International,320/I,321R,396,397,MIA,CUR,CUR,MIA,1005,1303,0258,1505,1903,0358,NAC,,,,,,,
Caribbean,320/I,319S,965,965,MIA,GCM,GCM,MIA,0955,1038,0143,1128,1410,0142,NAC,,,,,,,
Caribbean,320/I,319S,2932,2933,MIA,GCM,GCM,MIA,1527,1610,0143,1710,1952,0142,NAC,,,,,,,
South America,320/I,321E,992,993,MIA,LIM,LIM,MIA,1120,1602,0542,2250,0537,0547,NAC,,,,,,,
South America,320/I,321E,456,457,MIA,LIM,LIM,MIA,2210,0259,0549,0600,1254,0554,NAC,,,,,,,
Domestic,320/D,319W,1066,1079,AUS,PHL,PHL,AUS,1003,1425,0322,1505,1756,0351,NAC,,,,,,,
Domestic,320/D,319W,2102,2137,AUS,PHL,PHL,AUS,1337,1759,0322,1840,2131,0351,NAC,,,,,,,
Domestic,320/D,319W,1888,1889,BOS,PHL,PHL,BOS,1200,1330,0130,1410,1535,0125,NAC,,,,,,,
Domestic,320/D,319W,426,429,RDU,DTW,DTW,RDU,2305,0055,0150,0555,0754,0159,NAC,,2350,0140,0555,0754,0045,0045
Caribbean,320/I,321E,2340,2371,MIA,SJU,SJU,MIA,0747,1024,0237,1124,1421,0257,NAC,,,,,,,
Caribbean,320/I,321E,3142,3143,MIA,SJU,SJU,MIA,1010,1250,0240,1355,1655,0300,NAC,,,,,,,
Caribbean,320/I,321R,1302,1315,MIA,SJU,SJU,MIA,1230,1510,0240,1610,1910,0300,NAC,,,,,,,
Caribbean,320/I,321R,2198,2237,MIA,SJU,SJU,MIA,2015,2255,0240,2359,0259,0300,NAC,,,,,,,
Domestic,320/D,A320,1480,1481,PDX,SNA,SNA,PDX,1015,1239,0224,1324,1553,0229,AUR,,,,,,,
Domestic,320/D,A320,1756,1757,PDX,ORD,ORD,PDX,1130,1713,0343,1758,2035,0437,AUR,,,,,,,
Domestic,320/D,A320,4690,4691,PVU,LAS,LAS,PVU,1210,1244,0134,1329,1559,0130,PFT,,,,,,,
Domestic,320/D,A320,1176,1177,PDX,MSP,MSP,PDX,1300,1820,0320,1905,2056,0351,AUR,,,,,,,
Domestic,320/D,A320,4856,4857,PVU,PHX,PHX,PVU,1350,1434,0144,1519,1803,0144,PFT,,,,,,,
Domestic,320/D,A320,948,953,MCI,LAX,LAX,MCI,1400,1533,0333,1618,2131,0313,CARGO,,,,,,,
Domestic,320/D,A320,2018,2053,MCI,PBI,PBI,MCI,1425,1824,0259,1909,2126,0317,CARGO,,,,,,,
Domestic,320/D,A320,807,807,MCI,FLL,FLL,MCI,1550,1953,0303,2038,2259,0321,CARGO,,,,,,,
Domestic,320/D,A320,3904,3905,PDX,SAN,SAN,PDX,1550,1822,0232,1907,2145,0238,AUR,,,,,,,
Domestic,320/D,A320,1948,1949,PDX,PSP,PSP,PDX,1635,1900,0225,1945,2216,0231,AUR,,,,,,,
Domestic,320/D,A320,2180,2181,PDX,ONT,ONT,PDX,1705,1926,0221,2011,2238,0227,AUR,,,,,,,
Domestic,320/D,A320,2204,2205,PDX,SAN,SAN,PDX,1855,2127,0232,2212,0050,0238,AUR,,,,,,,
Domestic,320/D,320S,4784,4785,DEN,MSY,MSY,DEN,1120,1459,0239,1545,1732,0247,PFT,,,,,,,
Domestic,320/D,320S,4186,4187,PVU,SFO,SFO,PVU,1615,1721,0206,1806,2059,0153,PFT,,,,,,,
Domestic,320/D,320S,3254,3255,DEN,SLC,SLC,DEN,1650,1829,0139,1914,2034,0120,PFT,,,,,,,
Domestic,320/D,320S,4032,4033,PVU,SNA,SNA,PVU,1820,1919,0159,2004,2255,0151,PFT,,,,,,,
Domestic,320/D,320S,4048,4049,DEN,BUR,BUR,DEN,1955,2128,0233,0600,0906,0206,PFT,,,,,,,
Domestic,320/D,320S,3558,3559,DEN,CLE,CLE,DEN,2235,0327,0252,0640,0750,0310,PFT,,,,,,,
Domestic,320/D,320S,4876,4877,LAS,SEA,SEA,LAS,2325,0156,0231,0805,1028,0223,PFT,,,,,,,
Domestic,320/D,H205,2330,1017,SFO,BNA,BNA,SFO,0830,1449,0419,1534,1837,0503,OLD,,,,,,,
Domestic,320/D,H205,2438,1761,DEN,SDF,SDF,DEN,0845,1318,0233,1403,1449,0246,OLD,,,,,,,
Mexico,320/D,H205,2430,2431,SFO,SJD,SJD,SFO,0910,1214,0304,1509,1829,0320,OLD,,,,,,,
Domestic,320/D,H205,874,881,DEN,SMF,SMF,DEN,0925,1107,0242,1152,1503,0211,OLD,,,,,,,
Domestic,320/D,H205,2186,1459,DEN,ELP,ELP,DEN,0935,1127,0152,1312,1452,0140,OLD,,,,,,,
Domestic,320/D,H205,526,531,SFO,GEG,GEG,SFO,0945,1155,0210,1240,1455,0215,OLD,,,,,,,
Domestic,320/D,321E,1804,1805,LAX,MCO,MCO,LAX,1610,2355,0445,0740,1003,0523,NAC,,,,,,,
Domestic,320/D,H205,1660,1689,DEN,IND,IND,DEN,1000,1428,0228,1513,1553,0240,OLD,,,,,,,
Caribbean,320/I,321R,1228,1228,MIA,SVD,SVD,MIA,1102,1433,0331,1535,1934,0359,NAC,,,,,,,
Caribbean,320/I,321R,872,873,MIA,UVF,UVF,MIA,1055,1425,0330,1525,1923,0358,NAC,,,,,,,
Mexico,320/I,321R,942,943,MIA,CUN,CUN,MIA,1159,1255,0156,1350,1637,0147,NAC,,,,,,,
Caribbean,320/I,321R,3016,3017,PHL,PUJ,PUJ,PHL,0900,1239,0339,1340,1728,0348,NAC,,,,,,,
Caribbean,320/I,321R,1440,1441,PHL,SJU,SJU,PHL,0915,1259,0344,1355,1751,0356,NAC,,,,,,,
Mexico,320/I,321R,1580,1580,MIA,CUN,CUN,MIA,1455,1551,0156,1650,1937,0147,NAC,,,,,,,
